0,E_0[_garbageAddress]==0,E_0[_garbageAddress]==0,Exact Match
1,xrmToken.balanceOf(_user)>=_amount,_amount>0,The predicates are not equivalent and neither is stronger.
2,numberOfTokens+buyerBalance<=pre_mint_limit,numberOfTokens<=pre_mint_limit,The predicates are not equivalent and neither is stronger.
3,MathHelper.sumNumbers(_milestonesFundings).add(_finalReward)<=getUintConfig(CONFIG_MAX_FUNDING_FOR_NON_DIGIX),_milestonesFundings.length>0,The predicates are not equivalent and neither is stronger.
4,msg.sender==governance||msg.sender==controller||msg.sender==address(this),msg.sender==controller||msg.sender==governance,The predicates are not equivalent and neither is stronger.
5,addresses[j]!=0x0,addresses[j]!=0x0,Exact Match
6,address(bytesContract)!=address(0),bytesContract!=address(0),The predicates are not equivalent and neither is stronger.
7,_addresses.length<=200,_addresses.length>0,The predicates are not equivalent and neither is stronger.
8,msg.sender==_mintRequest.to,requiredPrice==msg.value,The predicates are not equivalent and neither is stronger.
9,owner()==data.creators[0].account,msg.sender==owner(),The predicates are not equivalent and neither is stronger.
10,tokenIdByGenerationWaveAndSerial[uint8(_generation)][uint8(_wave)][_serial]==0,tokenIdByGenerationWaveAndSerial[uint8(_generation)][uint8(_wave)][_serial]==0,Exact Match
11,msg.sender==address(previousRegistrar),deed.owner()==address(this),The predicates are not equivalent and neither is stronger.
12,"nimblToken.allowance(owner,address(this))>=nimblAmount","nimblToken.allowance(owner,address(this))>=nimblAmount",Exact Match
13,ethBalances[_msgSender()]<=9e18,tokens<=remainingTokens,The predicates are not equivalent and neither is stronger.
14,burnSanityCheck(tokens),balances[msg.sender]>=tokens,The predicates are not equivalent and neither is stronger.
15,addrOf[digitdomain].id==0,bytes(digitdomain).length!=0,The predicates are not equivalent and neither is stronger.
16,mint_num[msg.sender]+num<=saleConfig.max_num,mint_num[msg.sender]+num<=1,The predicates are not equivalent and neither is stronger.
17,array.length==desired.length,desired.length==array.length,The predicates are equivalent.
18,msg.sender==_burnContract,msg.sender==_burnContract,Exact Match
19,_resourceYields.length==resourceTypes.length,_resourceYields.length==resourceTypes.length,Exact Match
20,"IERC20(token).transfer(msg.sender,DISCOVERER_AMOUNT)","IERC20(token).transfer(msg.sender,DISCOVERER_AMOUNT)",Exact Match
21,totalSupply+amount<=400,amount<=3,The predicates are not equivalent and neither is stronger.
22,balanceOf[msg.sender]>=_value*_decimals,balanceOf[msg.sender]>=_value*_decimals,Exact Match
23,totalSupply()+_quantity<=TOTAL_SUPPLY,_quantity+totalSupply()<=TOTAL_SUPPLY,The predicates are equivalent.
24,"protocolToken.transferFrom(msg.sender,address(this),protocolTokensAmount)",protocolToken.balanceOf(address(this))>=protocolTokensAmount,The predicates are not equivalent and neither is stronger.
25,"MerkleProof.verify(proof,preSaleAllowlistMerkleRoot,_generateMerkleLeaf(msg.sender))","onPreSaleAllowList(to,proof)",The predicates are not equivalent and neither is stronger.
26,burnFee[2].add(p2p)<=2000,burnFee[2].add(p2p)<=2000,Exact Match
