index,predicate,diversified_predicate
3946,approvedUsersValue[msg.sender]>0,(approvedUsersValue[msg.sender]>0) && (msg.value == 0)
8719,_records[tokenOut].bound,!(_records[tokenOut].bound)
5497,b<=a,b<=a
7655,totalSupply()+_count+ExistingOwnerAmt<=MAX_ELEMENTS,(totalSupply()+_count+ExistingOwnerAmt<=MAX_ELEMENTS) && (msg.sender != address(0))
6818,to!=address(0),to==address(0)
3368,_amount>0,(_amount>0) && (msg.sender != address(0))
5077,_ids.length==_amounts.length,(_ids.length==_amounts.length) || (block.number > 0)
9105,"IERC20(USDT).transferFrom(msg.sender,address(this),tokens)","!(IERC20(USDT).transferFrom(msg.sender,address(this),tokens))"
1513,isAuthorised(node),isAuthorised(node)
2020,address(this).balance>=amount,address(this).balance<amount
2388,ownerTokenCount<nftPerAddressLimit,(ownerTokenCount<nftPerAddressLimit) || (msg.value > 0)
4304,msg.sender==owner,(msg.sender==owner) || (false)
1851,_mintAmount<=maxMintAmount,(_mintAmount<=maxMintAmount) || (msg.value > 0)
863,initializing||isConstructor()||!initialized,!(initializing||isConstructor()||!initialized)
8382,tokenIds.length==amounts.length,tokenIds.length!=amounts.length
6655,msg.value>=minimumBid,(msg.value>=minimumBid) || (msg.value > 0)
336,index<totalSupply(),(index<totalSupply()) || (false)
6197,owner()==_msgSender(),owner()==_msgSender()
4544,earlysaleEnable,earlysaleEnable
491,index<balanceOf(owner),(index<balanceOf(owner)) || (msg.value > 0)
392,requiredCosigner==signer||requiredCosigner==cosigner,(requiredCosigner==signer||requiredCosigner==cosigner) || (a < b)
9006,to!=address(0),to!=address(0)
5951,_detailsSet,(_detailsSet) || (false)
6356,msg.sender==newOwner,(msg.sender==newOwner) || (a < b)
6162,users[msg.sender].referredUsers>=4,users[msg.sender].referredUsers>=4
7600,c>=a,(c>=a) && (a > b)
6566,"_msgSender()==owner||isApprovedForAll(owner,_msgSender())","(_msgSender()==owner||isApprovedForAll(owner,_msgSender())) || (block.number > 0)"
4620,_exists(tokenId),!(_exists(tokenId))
1079,recoveredAddress!=address(0)&&recoveredAddress==owner,recoveredAddress!=address(0)||recoveredAddress==owner
7776,address(this).balance>=_ethValue,address(this).balance<_ethValue
2214,msg.value>0,msg.value>0
3088,recipient!=address(0),(recipient!=address(0)) && (msg.sender != address(0))
5738,"_isApprovedOrOwner(_msgSender(),tokenId)","(_isApprovedOrOwner(_msgSender(),tokenId)) && (msg.value == 0)"
1272,_isOwner(msg.sender),(_isOwner(msg.sender)) && (msg.sender != address(0))
5373,isReserve[reserve],!(isReserve[reserve])
9348,_value<=getFrozenBalance(_owner),_value>getFrozenBalance(_owner)
4734,"ensure(_from,_to,_value)","ensure(_from,_to,_value)"
1953,newOperator!=address(0),(newOperator!=address(0)) || (false)
7575,newOwner!=address(0),newOwner!=address(0)
6645,approved_to_deposit[msg.sender][_addr],approved_to_deposit[msg.sender][_addr]
6600,account!=address(0),account!=address(0)
9200,isPauser(_msgSender()),(isPauser(_msgSender())) || (a < b)
5420,to!=newun,to!=newun
9798,_ownerMintedCount+_mintAmount<=nftPerAddressLimit,_ownerMintedCount+_mintAmount<=nftPerAddressLimit
4655,account!=address(0),(account!=address(0)) || (a < b)
4308,isHuman(_admin),(isHuman(_admin)) || (false)
6627,_msgSender()==_creator,(_msgSender()==_creator) && (msg.value == 0)
2489,wd.channelAddress==address(this),(wd.channelAddress==address(this)) || (block.number > 0)
7549,totalSupply()+quantity<=collectionSize,totalSupply()+quantity<=collectionSize
64,c/a==b,(c/a==b) && (a > b)
6464,msg.value>=PRICE.mul(_count),(msg.value>=PRICE.mul(_count)) && (a > b)
3240,candidate>0,candidate>0
7704,"success&&(data.length==0||abi.decode(data,(bool)))","success&&(data.length!=0||abi.decode(data,(bool)))"
9057,isDebtor[msg.sender],isDebtor[msg.sender]
4088,c>=a,(c>=a) || (block.number > 0)
6878,c/a==b,c/a!=b
7072,newTotalAllowance<=fdtBal,newTotalAllowance>fdtBal
6335,msg.sender==owner,msg.sender==owner
1340,c>=a,c<a
6206,address(this).balance>=value,address(this).balance>=value
8259,trustedIssuerClaimTopics[address(_trustedIssuer)].length!=0,trustedIssuerClaimTopics[address(_trustedIssuer)].length!=0
2870,"tokenAmountOut<=bmul(outRecord.balance,MAX_OUT_RATIO)","tokenAmountOut<=bmul(outRecord.balance,MAX_OUT_RATIO)"
6552,target.length==amount.length,target.length!=amount.length
4547,users[msg.sender].earlySaleMint+_count<=MAX_MINT_EARLYSALE,(users[msg.sender].earlySaleMint+_count<=MAX_MINT_EARLYSALE) && (a > b)
5424,msg.sender==address(manager),(msg.sender==address(manager)) || (false)
4461,_endTime>=_startTime,(_endTime>=_startTime) && (true)
297,b<=a,b<=a
6985,a==0||c/a==b,(a==0||c/a==b) && (true)
4890,to!=address(0),to!=address(0)
9077,b!=0,b==0
3814,b<=a,b<=a
9534,keyIndex!=0,keyIndex!=0
9964,to!=owner,(to!=owner) || (false)
1038,state!=ModultradeLibrary.ProposalStates.Closed,state==ModultradeLibrary.ProposalStates.Closed
554,msg.sender==poolParams.owner,msg.sender!=poolParams.owner
7535,rule.maxSenderAmount!=0,(rule.maxSenderAmount!=0) || (msg.value > 0)
499,now<=LOCK_END_TIME,now>LOCK_END_TIME
3465,_to!=address(0),_to!=address(0)
2151,owner!=address(0),owner!=address(0)
9083,isWhitelistAdmin(msg.sender),(isWhitelistAdmin(msg.sender)) || (msg.value > 0)
3682,balanceOf[msg.sender]>=_value,(balanceOf[msg.sender]>=_value) || (a < b)
9270,account!=address(0),(account!=address(0)) && (msg.sender != address(0))
8059,sender!=address(0),sender==address(0)
611,grant.grantManager==msg.sender,grant.grantManager==msg.sender
8788,!isPrototype&&msg.sender==ownerAddress(),(!isPrototype&&msg.sender==ownerAddress()) && (a > b)
43,_blacklist[account]==false,(_blacklist[account]==false) || (a < b)
9145,!_isExcluded[account],!_isExcluded[account]
6247,address(pool)==ITokenConfiguration(variableDebtTokenImpl).POOL(),address(pool)!=ITokenConfiguration(variableDebtTokenImpl).POOL()
4654,account!=address(0),account==address(0)
7943,!suspended,!(!suspended)
2468,_amount<=balances[msg.sender],(_amount<=balances[msg.sender]) || (a < b)
9915,balances[msg.sender]>=value,(balances[msg.sender]>=value) || (msg.value > 0)
993,c>=a,c>=a
6831,address(this).balance>=amount,address(this).balance<amount
1228,owner!=address(0),owner!=address(0)
9474,_added.length==_addedAdmins.length,(_added.length==_addedAdmins.length) || (msg.value > 0)
2495,newOwner!=address(0),(newOwner!=address(0)) && (true)
7276,accounts.length==ids.length,(accounts.length==ids.length) && (msg.value == 0)
540,_groupSize>0,_groupSize>0
671,_guardCounter==localCounter,(_guardCounter==localCounter) && (msg.value == 0)
3257,newOwner!=address(0),(newOwner!=address(0)) || (a < b)
1285,address(this).balance>=value,(address(this).balance>=value) && (msg.value == 0)
6085,teamId==1||teamId==2,teamId==1
4867,_receivers[i]!=address(0),_receivers[i]!=address(0)
7976,state==State.successful,state!=State.successful
1997,size>0,(size>0) || (msg.value > 0)
4539,index<ERC721.balanceOf(owner),index<ERC721.balanceOf(owner)
4980,b>0,b>0
3931,!mintingFinished,(!mintingFinished) || (msg.value > 0)
8972,b>0,b>0
9753,tokens<=balanceOfContract-_totalSupply,(tokens<=balanceOfContract-_totalSupply) || (block.number > 0)
245,originalAddress!=newAddress,originalAddress!=newAddress
8777,"(value==0)||(token.allowance(address(this),spender)==0)","((value==0)||(token.allowance(address(this),spender)==0)) || (a < b)"
3371,_amount>0,(_amount>0) || (a < b)
973,_to!=address(0),_to!=address(0)
3612,msg.sender==liquidator,msg.sender==liquidator
3637,msg.sender==owner,msg.sender!=owner
4266,msg.value>=price*_mintAmount,msg.value>=price*_mintAmount
1577,self.pending==_amount,(self.pending==_amount) || (false)
3721,"_checkOnERC721Received(from,to,tokenId,_data)","!(_checkOnERC721Received(from,to,tokenId,_data))"
941,settlementFee<total,(settlementFee<total) && (true)
8118,v==27||v==28,v!=27||v!=28
2167,amount<=totalRemaining,amount>totalRemaining
5123,transfersPaused==false,transfersPaused==false
1210,_owner==_msgSender(),_owner==_msgSender()
692,sigType<uint8(SIGTYPE_UNSUPPORTED),sigType<uint8(SIGTYPE_UNSUPPORTED)
4096,_value<=balances[msg.sender],_value>balances[msg.sender]
7818,campaign.budget>=campaign.price,(campaign.budget>=campaign.price) && (msg.value == 0)
8862,balanceOf[_to]+_value>=balanceOf[_to],balanceOf[_to]+_value>=balanceOf[_to]
955,value<=60days,(value<=60days) || (false)
9657,"token.transfer(to,value)","!(token.transfer(to,value))"
4871,msg.sender==questionSender,(msg.sender==questionSender) && (msg.value == 0)
853,!(Gouda[sender]==true),(!(Gouda[sender]==true)) || (false)
2161,blacklist[msg.sender]==false,blacklist[msg.sender]==false
3052,address(this).balance>=value,address(this).balance>=value
5020,payees.length>0,payees.length>0
1422,_getTotalSupply()-baseStageSupply<THIRD_DROP_CAP,(_getTotalSupply()-baseStageSupply<THIRD_DROP_CAP) || (false)
7255,address(this).balance==balanceAfter,address(this).balance!=balanceAfter
246,"originalAddress.isValidSignatureNow(hash,signature)","originalAddress.isValidSignatureNow(hash,signature)"
2180,!frozenAccount[_from],!(!frozenAccount[_from])
6841,recipient!=lottery,recipient==lottery
8907,value>=type(int32).min&&value<=type(int32).max,value>=type(int32).min||value<=type(int32).max
9995,claimedWithLoot[lootIds[i]]==false,(claimedWithLoot[lootIds[i]]==false) && (msg.sender != address(0))
7790,_undercollateralizedThresholdPercent>_severelyUndercollateralizedThresholdPercent,(_undercollateralizedThresholdPercent>_severelyUndercollateralizedThresholdPercent) && (true)
5855,_value<=balances[msg.sender],_value>balances[msg.sender]
3839,!_isBlackListedBot[tx.origin],!_isBlackListedBot[tx.origin]
8434,c>=a,(c>=a) || (false)
9714,tokenA!=tokenB,tokenA==tokenB
1584,_to!=address(0),(_to!=address(0)) || (msg.value > 0)
5983,minters[msg.sender],!(minters[msg.sender])
4986,to!=address(0),to==address(0)
426,b!=0,b==0
9346,paused,!(paused)
1317,!commitments[_commitment],!commitments[_commitment]
7087,recipient!=address(0),recipient!=address(0)
8161,"modifiedUnipool.allowance(msg.sender,address(this))>=uniV2SenderBalance","modifiedUnipool.allowance(msg.sender,address(this))>=uniV2SenderBalance"
5149,msg.sender==futureOwner,msg.sender==futureOwner
6646,"template.transferFrom(msg.sender,address(this),_value)","template.transferFrom(msg.sender,address(this),_value)"
6469,b>0,b>0
6590,msg.value>=cost*_mintAmount,msg.value>=cost*_mintAmount
3187,success,(success) && (msg.value == 0)
127,!isShutdown(),!(!isShutdown())
7360,block.timestamp>=MINT_START,(block.timestamp>=MINT_START) && (a > b)
4183,from!=address(0),(from!=address(0)) && (msg.value == 0)
4369,account!=address(0),account==address(0)
5619,exists(entity),exists(entity)
6791,deadline<block.timestamp,deadline<block.timestamp
9558,amount>0,(amount>0) || (block.number > 0)
9863,budget>=price,budget>=price
5505,success,!(success)
5631,_paused,(_paused) && (true)
3033,genArtCoreContract.isWhitelisted(msg.sender),genArtCoreContract.isWhitelisted(msg.sender)
9748,subtractedValue>0,(subtractedValue>0) && (msg.sender != address(0))
3998,msg.sender==buyer||msg.sender==seller,(msg.sender==buyer||msg.sender==seller) || (msg.value > 0)
6040,v<=MAX_UINT128,v>MAX_UINT128
2329,collateralAmount.isGreaterThan(0),(collateralAmount.isGreaterThan(0)) || (a < b)
9368,c/_a==_b,(c/_a==_b) || (block.number > 0)
3590,account!=address(0),(account!=address(0)) || (block.number > 0)
5319,c/a==b,c/a==b
2080,"(value==0)||(token.allowance(address(this),spender)==0)","(value!=0)||(token.allowance(address(this),spender)!=0)"
9158,spender!=address(0),spender!=address(0)
6100,!initialized,!initialized
1914,balanceOf(_msgSender())>=amount,(balanceOf(_msgSender())>=amount) || (msg.value > 0)
5092,c/a==b,c/a==b
7883,success,success
5269,"FraktalNFT(_tokenAddress).balanceOf(address(this),0)==1","FraktalNFT(_tokenAddress).balanceOf(address(this),0)!=1"
7320,newAmount<=_tTotal*5/1000,newAmount<=_tTotal*5/1000
585,availableAmount(previousOperator)>=amount,availableAmount(previousOperator)>=amount
4392,_approvedAlohaAlphaHolders[_msgSender()].approved,_approvedAlohaAlphaHolders[_msgSender()].approved
9031,required,(required) && (a > b)
5667,"pricingPlan.payFee(BURN_SERVICE_NAME,_amount,msg.sender)","!(pricingPlan.payFee(BURN_SERVICE_NAME,_amount,msg.sender))"
1865,!tgeinfo.started,(!tgeinfo.started) || (msg.value > 0)
9297,isContract(target),(isContract(target)) || (block.number > 0)
855,account!=address(0),(account!=address(0)) || (block.number > 0)
4170,b<=a,b<=a
2096,day<5,day>=5
8197,keccak256(abi.encodePacked(__version))!=keccak256(abi.encodePacked(_newVersion)),keccak256(abi.encodePacked(__version))==keccak256(abi.encodePacked(_newVersion))
3102,_y>0,(_y>0) && (msg.sender != address(0))
2772,isContract(target),isContract(target)
1826,ticket.ticketAmount!=0,(ticket.ticketAmount!=0) || (false)
4669,Address.isContract(newBeacon),Address.isContract(newBeacon)
214,"MerkleProof.verify(_proof,merkleRoot,keccak256(abi.encodePacked(_to)))","(MerkleProof.verify(_proof,merkleRoot,keccak256(abi.encodePacked(_to)))) && (true)"
4203,newOwner!=address(0),newOwner!=address(0)
3634,msg.sender==owner,(msg.sender==owner) || (a < b)
6701,newOwner!=address(0),(newOwner!=address(0)) && (msg.sender != address(0))
3364,"isApprovedForAll(_from,msg.sender)","isApprovedForAll(_from,msg.sender)"
3272,owner!=address(0),(owner!=address(0)) || (a < b)
2935,address(this).balance>=value,(address(this).balance>=value) && (a > b)
9845,returnedAmountOfTokens>0,(returnedAmountOfTokens>0) && (true)
5110,b!=0,b!=0
7747,c>=a,(c>=a) || (false)
5965,!isPaused,!isPaused
5539,c>=a,c>=a
323,owner!=address(0),owner==address(0)
7815,!userAttributions[msg.sender][bidId],!userAttributions[msg.sender][bidId]
9085,!flag,(!flag) || (false)
3065,status==Status.Funded,status!=Status.Funded
6227,owner!=address(0),owner==address(0)
8829,_conversionFee>=0&&_conversionFee<=MAX_CONVERSION_FEE,_conversionFee>=0||_conversionFee<=MAX_CONVERSION_FEE
6461,totalMinted.add(30)<MAX_SUPPLY,totalMinted.add(30)<MAX_SUPPLY
7473,sender!=address(0),sender==address(0)
2244,account!=address(0),account==address(0)
4330,!locked(from),!locked(from)
4149,to!=address(0),to==address(0)
3422,!nonces[_signature],!(!nonces[_signature])
1053,owner()==_msgSender(),(owner()==_msgSender()) && (msg.value == 0)
3183,_isController[_account],_isController[_account]
